AmericaEquity;IncomeFound;AggregateBond;CorporateBond;EquityAllCap;HighYeldPlusBound;SelectEquity;ShortDurationBond;USTechnology;USValue
0.00535419;5.54E-05;-0.000316195;0.000212462;0.005294714;0.000248894;0.005061878;-1.79E-05;0.006970163;0.002684389
-0.002747128;0.00060907;-0.000685881;-0.001020769;-0.002239517;0.000596763;-0.002353248;-0.000363354;-0.001790587;0.004185087
0.001063451;5.53E-05;-0.00036977;-0.000127765;0.001367858;0.000595944;0.001166088;-7.75E-05;0.00114916;0.002642391
0.000624345;0.000276533;-0.000846372;-0.000554083;0.000568672;0.000595128;0.00099356;-0.000166917;-0.000720304;-0.000376502
0.002053994;0.000165835;0.000264668;0.000213193;0.001927933;0.000495318;2.42E-05;4.77E-05;0.004940171;-0.000376828
-0.001212549;0.000221015;0.000370265;0.000383483;-0.002344886;0;-0.001989287;5.96E-05;-0.002182243;-0.000754639
0.000249004;0.000276111;0.000264282;0.000468242;-3.79E-05;0.000593636;-2.43E-05;-0.00041747;0.001353124;-0.001892354
0.000839337;0.000441412;-0.000475823;-0.000510835;0.000416989;4.94E-05;-0.000218905;0.00041747;-0.000115817;0
0.000403547;0.000165414;0.000634315;0.000936072;0.000454441;0.000148266;7.30E-05;-5.96E-06;-0.000154471;0.000379131
-0.001149544;-0.000330891;-0.000951821;-0.001490155;-0.000871431;-0.000444949;-0.001413133;-0.000375711;0.000733247;0.00075727
-0.0006538;-0.000828332;-0.000317738;-8.53E-05;-0.000949195;-0.00103999;-0.001172977;-5.97E-05;-0.00019284;0
0.001927438;0.000221043;0;-0.000127991;0.002312401;0.000198285;0.0024888;-1.79E-05;0.004642853;0.000755952
0.002998451;-0.000110508;-0.000583124;-0.000512341;0.003051659;0.000148655;0.003078998;-0.000125331;0.004140329;0.000754639
0.001783048;-5.53E-05;0.000265153;0.000981457;0.001012473;0.000346663;2.42E-05;0.000113397;0.004512973;-0.000754639
-0.002029561;0.000276251;-0.000424323;-0.000639829;-0.001989683;0.000395848;-0.001597296;-0.000173091;-0.001780781;-0.002271816
-0.001977159;5.52E-05;0.000901191;0.001746638;-0.001923245;0.000494303;-0.00140855;0.000381902;0.000956906;-0.000759921
-3.10E-05;0.000386408;0.000582129;8.50E-05;-0.00030246;0.000395038;-0.000584187;0.000149089;0.004641914;0.001897314
-0.00338845;0.000275795;0.00021149;0.000637138;-0.003341035;0.000443988;-0.00288374;-2.39E-05;-0.000519513;0.00037847
-0.00707925;0;0.001108635;0.001694479;-0.008039515;-4.93E-05;-0.007418945;0.000357626;-0.006697704;-0.005711978
-0.002736624;-0.000496557;0.001210981;0.000507057;-0.003664954;-0.001036797;-0.003732388;3.57E-05;-0.008375871;-0.004237053
0.001402288;0.000110395;-0.000684053;-0.000633914;0.001758359;0.000395262;0.001657231;-0.000649851;0.004151017;0.00385357
0;-0.000607521;5.27E-05;0.000591682;-0.0004682;0.000937309;-0.000576802;7.16E-05;-0.000247564;0.002295835
0.000572361;5.53E-05;5.27E-05;0.000168904;0.001286337;0.000197071;0.00115284;0.000447176;0.002526135;-0.000381797
0.0020606;0;-0.000843188;-0.001141379;0.002638681;0.000196981;0.002819051;0.000119169;0.004446611;0.000763259
0.003245369;0.000497062;0.000474495;0.000592201;0.002353487;0.000393695;0.001761947;-0.000244332;0.003955962;0.002660894
0.00281604;0.0002759;0.00021072;0.000422507;0.002264254;0;0.002666512;-2.38E-05;0.002851242;-0.000379131
-0.001687432;0.000716521;0.000263257;0.000464283;-0.001572213;0.000245878;-0.001627589;7.15E-05;0.000719107;-0.001519842
-0.004405605;0.000165183;0.000526035;0.000337349;-0.004246469;4.92E-05;-0.003273592;7.15E-05;-0.003607502;-0.002289783
